Prognoseraum,Bezeichnung,Anteil,year
0604,Region D,97.8,2016
0701,Schöneberg-Nord,94.1,2016
0702,Schöneberg-Süd,96.3,2016
0703,Friedenau,98.1,2016
0704,Tempelhof,97,2016
0705,Mariendorf,96.7,2016
0706,Marienfelde,96.4,2016
0707,Lichtenrade,96.2,2016
0801,Neukölln,86.8,2016
0802,Britz-Buckow,93,2016
0803,Gropiusstadt,91.3,2016
0804,Buckow Nord / Rudow,93.5,2016
0901,Treptow-Köpenick 1,94.3,2016
0902,Treptow-Köpenick 2,88.5,2016
0903,Treptow-Köpenick 3,94.6,2016
0904,Treptow-Köpenick 4,94.2,2016
0905,Treptow-Köpenick 5,94.9,2016
1001,Marzahn,93.6,2016
1002,Hellersdorf,92.2,2016
1003,Biesdorf,95.6,2016
1004,Kaulsdorf / Mahlsdorf,96.7,2016
1101,Hohenschönhausen Nord,91.9,2016
1102,Hohenschönhausen Süd,97.1,2016
1103,Lichtenberg Nord,93.1,2016
1104,Lichtenberg Mitte,90.7,2016
1105,Lichtenberg Süd,94.3,2016
1210,Reinickendorf-Ost,91,2016
1221,Tegel,93,2016
1222,Heiligensee-Konradshöhe,97,2016
1223,Frohnau-Hermsdorf,97.3,2016
1230,Waidmannslust,92.1,2016
0101,Zentrum,80.21505376344086,2006
0102,Moabit,81.08614232209737,2006
0103,Gesundbrunnen,73.7864077669903,2006
0104,Wedding,76.11710323574731,2006
0201,Kreuzberg Nord,73.77049180327869,2006
0202,Kreuzberg Süd,81.87372708757637,2006
0203,Kreuzberg Ost,83.03964757709251,2006
0204,Friedrichshain West,84.86238532110092,2006
0205,Friedrichshain Ost,86.68407310704961,2006
0301,Buch,89.28571428571429,2006
0302,Nördliches Pankow,92.03084832904884,2006
0303,Nördliches Weißensee,87.88927335640139,2006
0304,Südliches Pankow,89.05547226386807,2006
0305,Südliches Weißensee,85.41033434650456,2006
0306,Nördlicher Prenzl. Berg,86.66666666666667,2006
0307,Südlicher Prenzl. Berg,85.90785907859079,2006
0401,Charlottenburg-Nord,90.72164948453609,2006
0402,Westend,91.9831223628692,2006
0403,Charlottenburg,87.58865248226951,2006
0404,Schmargendorf,86.93877551020408,2006
0405,Wilmersdorf,88.91566265060241,2006
0406,Forst Grunewald,0,2006
0501,SPA 1,85.57951482479784,2006
0502,SPA 2,87.78625954198473,2006
0503,SPA 3,82.38993710691824,2006
0504,SPA 4,92.20779220779221,2006
0601,Region A,88.23529411764706,2006
0602,Region B,92.36641221374046,2006
0603,Region C,89.98242530755712,2006
0604,Region D,92.38476953907815,2006
0701,Schöneberg-Nord,79.06976744186046,2006
0702,Schöneberg-Süd,85.24096385542168,2006
0703,Friedenau,87.21227621483376,2006
0704,Tempelhof,83.41232227488152,2006
0705,Mariendorf,85.87896253602305,2006
0706,Marienfelde,89.5397489539749,2006
0707,Lichtenrade,88.64197530864197,2006
0801,Neukölln,72.81323877068557,2006
0802,Britz-Buckow,85.24271844660194,2006
0803,Gropiusstadt,84.70149253731343,2006
0804,Buckow Nord / Rudow,87.32394366197182,2006
0901,Treptow-Köpenick 1,86.66666666666667,2006
0902,Treptow-Köpenick 2,80.16759776536313,2006
0903,Treptow-Köpenick 3,84.39897698209718,2006
0904,Treptow-Köpenick 4,88.88888888888889,2006
0905,Treptow-Köpenick 5,89.03225806451613,2006
1001,Marzahn,83.59621451104101,2006
1002,Hellersdorf,87.01594533029613,2006
1003,Biesdorf,95.45454545454545,2006
1004,Kaulsdorf / Mahlsdorf,91.52941176470588,2006
1101,Hohenschönhausen Nord,83.6734693877551,2006
1102,Hohenschönhausen Süd,88.88888888888889,2006
1103,Lichtenberg Nord,87.11484593837535,2006
1104,Lichtenberg Mitte,84.8396501457726,2006
1105,Lichtenberg Süd,91.7948717948718,2006
1210,Reinickendorf-Ost,83.03571428571429,2006
1221,Tegel,85.55240793201133,2006
1222,Heiligensee-Konradshöhe,89.3719806763285,2006
1223,Frohnau-Hermsdorf,88.92405063291139,2006
1230,Waidmannslust,82.5,2006
0101,Zentrum,96,2017
0102,Moabit,91.3,2017
0103,Gesundbrunnen,85.9,2017
0104,Wedding,88.3,2017
0201,Kreuzberg Nord,87.8,2017
0202,Kreuzberg Süd,93.1,2017
0203,Kreuzberg Ost,87.5,2017
0204,Friedrichshain West,93.5,2017
0205,Friedrichshain Ost,94.5,2017
0301,Buch,93.3,2017
0302,Nördliches Pankow,97.1,2017
0303,Nördliches Weißensee,95.2,2017
0304,Südliches Pankow,95.7,2017
0305,Südliches Weißensee,94.4,2017
0306,Nördl. Prenzl. Berg,95.6,2017
0307,Südl. Prenzl. Berg,95.1,2017
0401,Charlottenburg-Nord,94.6,2017
0402,Westend,95.7,2017
0403,Charlottenburg,95,2017
0404,Schmargendorf,93.3,2017
0405,Wilmersdorf,95.1,2017
0406,Forst Grunewald,0,2017
0501,SPA 1,93.1,2017
0502,SPA 2,93.5,2017
0503,SPA 3,94.4,2017
0504,SPA 4,98.1,2017
0601,Region A,96.9,2017
0602,Region B,97.2,2017
0603,Region C,97.2,2017
0604,Region D,97.6,2017
0701,Schöneberg-Nord,93.8,2017
0702,Schöneberg-Süd,95.3,2017
0703,Friedenau,95.8,2017
0704,Tempelhof,97.3,2017
0705,Mariendorf,97.6,2017
0706,Marienfelde,96.1,2017
0707,Lichtenrade,97.6,2017
0801,Neukölln,88,2017
0802,Britz-Buckow,93.5,2017
0803,Gropiusstadt,87.9,2017
0804,Buckow Nord / Rudow,94.8,2017
0901,Treptow-Köpenick 1,94.7,2017
0902,Treptow-Köpenick 2,90.3,2017
0903,Treptow-Köpenick 3,94.4,2017
0904,Treptow-Köpenick 4,94.3,2017
0905,Treptow-Köpenick 5,94.1,2017
1001,Marzahn,95.8,2017
1002,Hellersdorf,91.6,2017
1003,Biesdorf,98.5,2017
1004,Kaulsdorf / Mahlsdorf,95.7,2017
1101,Hohenschönhausen Nord,93.2,2017
1102,Hohenschönhausen Süd,97.7,2017
1103,Lichtenberg Nord,92.7,2017
1104,Lichtenberg Mitte,92.3,2017
1105,Lichtenberg Süd,97.7,2017
1210,Reinickendorf-Ost,93.8,2017
1221,Tegel,94.2,2017
1222,Heiligensee-Konradshöhe,96,2017
1223,Frohnau-Hermsdorf,97,2017
1230,Waidmannslust,93.9,2017
0101,Zentrum,78.9980732177264,2008
0102,Moabit,79.46257197696737,2008
0103,Gesundbrunnen,76.34782608695652,2008
0104,Wedding,74.38825448613377,2008
0201,Kreuzberg Nord,76.52370203160271,2008
0202,Kreuzberg Süd,82.24101479915433,2008
0203,Kreuzberg Ost,81.02981029810299,2008
0204,Friedrichshain West,84.95145631067962,2008
0205,Friedrichshain Ost,81.30630630630631,2008
0301,Buch,87.62886597938144,2008
0302,Nördliches Pankow,89.84375,2008
0303,Nördliches Weißensee,93.23843416370107,2008
0304,Südliches Pankow,88.74172185430463,2008
0305,Südliches Weißensee,88.72403560830861,2008
0306,Nördlicher Prenzl. Berg,90.48543689320388,2008
0307,Südlicher Prenzl. Berg,87.53246753246754,2008
0401,Charlottenburg-Nord,83.15789473684211,2008
0402,Westend,95.2991452991453,2008
0403,Charlottenburg,84.58445040214477,2008
0404,Schmargendorf,86.61087866108787,2008
0405,Wilmersdorf,87.89237668161435,2008
0406,Forst Grunewald,0,2008
0501,SPA 1,84.32267884322678,2008
0502,SPA 2,84.2756183745583,2008
0503,SPA 3,80.95238095238095,2008
0504,SPA 4,92.3076923076923,2008
0601,Region A,90.37199124726477,2008
0602,Region B,91.27789046653145,2008
0603,Region C,93.8566552901024,2008
0604,Region D,90.67164179104478,2008
0701,Schöneberg-Nord,81.23076923076923,2008
0702,Schöneberg-Süd,88.21548821548822,2008
0703,Friedenau,89.7196261682243,2008
0704,Tempelhof,88.39506172839506,2008
0705,Mariendorf,88.56304985337243,2008
0706,Marienfelde,91.23711340206185,2008
0707,Lichtenrade,90.11299435028249,2008
0801,Neukölln,73.96039603960396,2008
0802,Britz-Buckow,83.48214285714286,2008
0803,Gropiusstadt,88.67924528301887,2008
0804,Buckow Nord / Rudow,89.72809667673717,2008
0901,Treptow-Köpenick 1,88.18897637795276,2008
0902,Treptow-Köpenick 2,81.4207650273224,2008
0903,Treptow-Köpenick 3,90.86021505376344,2008
0904,Treptow-Köpenick 4,88.26291079812206,2008
0905,Treptow-Köpenick 5,87.31117824773413,2008
1001,Marzahn,84.8159509202454,2008
1002,Hellersdorf,87.45098039215686,2008
1003,Biesdorf,93.22033898305085,2008
1004,Kaulsdorf / Mahlsdorf,89.96865203761756,2008
1101,Hohenschönhausen Nord,84.84848484848484,2008
1102,Hohenschönhausen Süd,86.84210526315789,2008
1103,Lichtenberg Nord,82.84182305630027,2008
1104,Lichtenberg Mitte,80.56338028169014,2008
1105,Lichtenberg Süd,91.75257731958763,2008
1210,Reinickendorf-Ost,76.80722891566265,2008
1221,Tegel,81.21019108280255,2008
1222,Heiligensee-Konradshöhe,88.60103626943005,2008
1223,Frohnau-Hermsdorf,93.20754716981132,2008
1230,Waidmannslust,85.01529051987768,2008
0101,Zentrum,93.5,2015
0102,Moabit,90.8,2015
0103,Gesundbrunnen,85.3,2015
0104,Wedding,87.5,2015
0201,Kreuzberg Nord,89.7,2015
0202,Kreuzberg Süd,89.7,2015
0203,Kreuzberg Ost,87.4,2015
0204,Friedrichshain West,93.7,2015
0205,Friedrichshain Ost,93.2,2015
0301,Buch,92.9,2015
0302,Nördliches Pankow,96.7,2015
0303,Nördliches Weißensee,94.7,2015
0304,Südliches Pankow,95,2015
0305,Südliches Weißensee,95.7,2015
0306,Nördl. Prenzl. Berg,94.6,2015
0307,Südl. Prenzl. Berg,93.2,2015
0401,Charlottenburg-Nord,95.8,2015
0402,Westend,98.5,2015
0403,Charlottenburg,94.3,2015
0404,Schmargendorf,95.7,2015
0405,Wilmersdorf,96.5,2015
0406,Forst Grunewald,0,2015
