Prognoseraum,Bezeichnung,Anteil,year
0904,Treptow-Köpenick 4,19.3,2016
0905,Treptow-Köpenick 5,7.7,2016
1001,Marzahn,36.3,2016
1002,Hellersdorf,33.4,2016
1003,Biesdorf,10.5,2016
1004,Kaulsdorf / Mahlsdorf,11.6,2016
1101,Hohenschönhausen Nord,35,2016
1102,Hohenschönhausen Süd,31.5,2016
1103,Lichtenberg Nord,35.3,2016
1104,Lichtenberg Mitte,26.9,2016
1105,Lichtenberg Süd,11.9,2016
1210,Reinickendorf-Ost,43.1,2016
1221,Tegel,38.5,2016
1222,Heiligensee-Konradshöhe,17.2,2016
1223,Frohnau-Hermsdorf,6.5,2016
1230,Waidmannslust,47.3,2016
0101,Zentrum,25.4,2015
0102,Moabit,42.6,2015
0103,Gesundbrunnen,60.7,2015
0104,Wedding,47.3,2015
0201,Kreuzberg Nord,47.7,2015
0202,Kreuzberg Süd,17,2015
0203,Kreuzberg Ost,30.4,2015
0204,Friedrichshain West,17.1,2015
0205,Friedrichshain Ost,7.1,2015
0301,Buch,17.5,2015
0302,Nördliches Pankow,8.1,2015
0303,Nördliches Weißensee,9.2,2015
0304,Südliches Pankow,8.2,2015
0305,Südliches Weißensee,11.1,2015
0306,Nördl. Prenzl. Berg,8.9,2015
0307,Südl. Prenzl. Berg,5.4,2015
0401,Charlottenburg-Nord,33.3,2015
0402,Westend,17.6,2015
0403,Charlottenburg,23.7,2015
0404,Schmargendorf,21,2015
0405,Wilmersdorf,27.8,2015
0406,Forst Grunewald,0,2015
0501,SPA 1,36.9,2015
0502,SPA 2,30.4,2015
0503,SPA 3,43.3,2015
0504,SPA 4,19.3,2015
0601,Region A,20.7,2015
0602,Region B,22.5,2015
0603,Region C,14.1,2015
0604,Region D,7.4,2015
0701,Schöneberg-Nord,41.3,2015
0702,Schöneberg-Süd,18,2015
0703,Friedenau,14.4,2015
0704,Tempelhof,34.2,2015
0705,Mariendorf,31.7,2015
0706,Marienfelde,32.2,2015
0707,Lichtenrade,24.1,2015
0801,Neukölln,48.4,2015
0802,Britz-Buckow,37,2015
0803,Gropiusstadt,50.7,2015
0804,Buckow Nord / Rudow,29.5,2015
0901,Treptow-Köpenick 1,4.3,2015
0902,Treptow-Köpenick 2,14.4,2015
0903,Treptow-Köpenick 3,12.7,2015
0904,Treptow-Köpenick 4,14.5,2015
0905,Treptow-Köpenick 5,6.9,2015
1001,Marzahn,34,2015
1002,Hellersdorf,41,2015
1003,Biesdorf,11.8,2015
1004,Kaulsdorf / Mahlsdorf,14.3,2015
1101,Hohenschönhausen Nord,33.7,2015
1102,Hohenschönhausen Süd,29.7,2015
1103,Lichtenberg Nord,30.6,2015
1104,Lichtenberg Mitte,23.1,2015
1105,Lichtenberg Süd,3.8,2015
1210,Reinickendorf-Ost,44.8,2015
1221,Tegel,40.5,2015
1222,Heiligensee-Konradshöhe,7.8,2015
1223,Frohnau-Hermsdorf,12.2,2015
1230,Waidmannslust,48.5,2015
0101,Zentrum,16.7,2008
0102,Moabit,38.5,2008
0103,Gesundbrunnen,57.5,2008
0104,Wedding,48.8,2008
