Prognoseraum,Bezeichnung,Anteil,year
1223,Frohnau-Hermsdorf,95.8,2014
1230,Waidmannslust,77.4,2014
0101,Zentrum,91.4,2011
0102,Moabit,86,2011
0103,Gesundbrunnen,73.9,2011
0104,Wedding,75.7,2011
0201,Kreuzberg Nord,85.3,2011
0202,Kreuzberg Süd,90,2011
0203,Kreuzberg Ost,86.6,2011
0204,Friedrichshain West,91.7,2011
0205,Friedrichshain Ost,94.8,2011
0301,Buch,95.7,2011
0302,Nördliches Pankow,95.1,2011
0303,Nördliches Weißensee,96.4,2011
0304,Südliches Pankow,96.3,2011
0305,Südliches Weißensee,95.4,2011
0306,Nördlicher Prenzl. Berg,96.6,2011
0307,Südlicher Prenzl. Berg,96.4,2011
0401,Charlottenburg-Nord,88,2011
0402,Westend,91.1,2011
0403,Charlottenburg,89.1,2011
0404,Schmargendorf,90.4,2011
0405,Wilmersdorf,88.6,2011
0406,Forst Grunewald,0,2011
0501,SPA 1,85.1,2011
0502,SPA 2,89.9,2011
0503,SPA 3,87.6,2011
0504,SPA 4,90.6,2011
0601,Region A,90.9,2011
0602,Region B,90.4,2011
0603,Region C,92,2011
0604,Region D,93,2011
0701,Schöneberg-Nord,91.3,2011
0702,Schöneberg-Süd,90.9,2011
0703,Friedenau,92,2011
0704,Tempelhof,89.3,2011
0705,Mariendorf,89.2,2011
0706,Marienfelde,81.1,2011
0707,Lichtenrade,87.1,2011
0801,Neukölln,79.1,2011
0802,Britz-Buckow,86.1,2011
0803,Gropiusstadt,82.3,2011
0804,Buckow Nord / Rudow,90.6,2011
0901,Treptow-Köpenick 1,92.7,2011
0902,Treptow-Köpenick 2,94.1,2011
0903,Treptow-Köpenick 3,93.7,2011
0904,Treptow-Köpenick 4,95.2,2011
0905,Treptow-Köpenick 5,95.8,2011
1001,Marzahn,86.5,2011
1002,Hellersdorf,85.8,2011
1003,Biesdorf,96.1,2011
1004,Kaulsdorf / Mahlsdorf,97,2011
1101,Hohenschönhausen Nord,91,2011
1102,Hohenschönhausen Süd,91.1,2011
1103,Lichtenberg Nord,88.2,2011
1104,Lichtenberg Mitte,88.6,2011
1105,Lichtenberg Süd,97.5,2011
1210,Reinickendorf-Ost,87,2011
1221,Tegel,87.3,2011
1222,Heiligensee-Konradshöhe,95.1,2011
1223,Frohnau-Hermsdorf,94.6,2011
1230,Waidmannslust,85.3,2011
0101,Zentrum,90.6,2012
0102,Moabit,84,2012
0103,Gesundbrunnen,74.7,2012
0104,Wedding,76.1,2012
0201,Kreuzberg Nord,85.9,2012
0202,Kreuzberg Süd,89.2,2012
0203,Kreuzberg Ost,89.7,2012
0204,Friedrichshain West,92.7,2012
0205,Friedrichshain Ost,92.8,2012
0301,Buch,89.2,2012
0302,Nördliches Pankow,95.9,2012
0303,Nördliches Weißensee,96.5,2012
0304,Südliches Pankow,94.6,2012
0305,Südliches Weißensee,94.2,2012
0306,Nördlicher Prenzl. Berg,95.8,2012
0307,Südlicher Prenzl. Berg,96.5,2012
0401,Charlottenburg-Nord,85,2012
0402,Westend,91.3,2012
0403,Charlottenburg,90.1,2012
0404,Schmargendorf,89.3,2012
0405,Wilmersdorf,93.1,2012
0406,Forst Grunewald,0,2012
0501,SPA 1,83.4,2012
0502,SPA 2,85.8,2012
0503,SPA 3,89.4,2012
0504,SPA 4,90.3,2012
0601,Region A,90,2012
0602,Region B,92,2012
0603,Region C,93.1,2012
0604,Region D,93.5,2012
0701,Schöneberg-Nord,88.1,2012
0702,Schöneberg-Süd,91.3,2012
0703,Friedenau,93.1,2012
0704,Tempelhof,88.2,2012
0705,Mariendorf,87.9,2012
0706,Marienfelde,80.9,2012
0707,Lichtenrade,88.1,2012
0801,Neukölln,74.9,2012
0802,Britz-Buckow,86.8,2012
0803,Gropiusstadt,86.5,2012
0804,Buckow Nord / Rudow,85.9,2012
0901,Treptow-Köpenick 1,93,2012
0902,Treptow-Köpenick 2,90.2,2012
0903,Treptow-Köpenick 3,95.7,2012
0904,Treptow-Köpenick 4,96.9,2012
0905,Treptow-Köpenick 5,95.6,2012
1001,Marzahn,87.4,2012
1002,Hellersdorf,85.7,2012
1003,Biesdorf,95.7,2012
1004,Kaulsdorf / Mahlsdorf,95.5,2012
1101,Hohenschönhausen Nord,90.8,2012
1102,Hohenschönhausen Süd,92.7,2012
1103,Lichtenberg Nord,89.7,2012
1104,Lichtenberg Mitte,90.6,2012
1105,Lichtenberg Süd,95.9,2012
1210,Reinickendorf-Ost,83.8,2012
1221,Tegel,87.9,2012
1222,Heiligensee-Konradshöhe,95.2,2012
1223,Frohnau-Hermsdorf,95.8,2012
1230,Waidmannslust,84.6,2012
0101,Zentrum,90.2,2013
0102,Moabit,86,2013
0103,Gesundbrunnen,72.7,2013
0104,Wedding,78.6,2013
0201,Kreuzberg Nord,85.2,2013
0202,Kreuzberg Süd,90.2,2013
0203,Kreuzberg Ost,90.5,2013
0204,Friedrichshain West,91.2,2013
0205,Friedrichshain Ost,96.6,2013
0301,Buch,92.4,2013
0302,Nördliches Pankow,94.4,2013
0303,Nördliches Weißensee,95.8,2013
0304,Südliches Pankow,95.3,2013
0305,Südliches Weißensee,94.8,2013
0306,Nördlicher Prenzl. Berg,95.8,2013
0307,Südlicher Prenzl. Berg,93.9,2013
0401,Charlottenburg-Nord,87.8,2013
0402,Westend,88.5,2013
0403,Charlottenburg,89.6,2013
0404,Schmargendorf,87.6,2013
0405,Wilmersdorf,89.3,2013
0406,Forst Grunewald,0,2013
0501,SPA 1,79,2013
0502,SPA 2,82.6,2013
0503,SPA 3,86,2013
0504,SPA 4,92.9,2013
0601,Region A,88.6,2013
0602,Region B,90.7,2013
0603,Region C,92.4,2013
0604,Region D,92.2,2013
0701,Schöneberg-Nord,91,2013
0702,Schöneberg-Süd,90,2013
0703,Friedenau,91,2013
0704,Tempelhof,89.4,2013
0705,Mariendorf,82.9,2013
0706,Marienfelde,78.8,2013
0707,Lichtenrade,86.2,2013
0801,Neukölln,77,2013
0802,Britz-Buckow,85.7,2013
0803,Gropiusstadt,85.7,2013
0804,Buckow Nord / Rudow,87.8,2013
0901,Treptow-Köpenick 1,90.7,2013
0902,Treptow-Köpenick 2,93.2,2013
0903,Treptow-Köpenick 3,95.2,2013
0904,Treptow-Köpenick 4,93.8,2013
0905,Treptow-Köpenick 5,94.8,2013
1001,Marzahn,85,2013
1002,Hellersdorf,82.5,2013
1003,Biesdorf,94.1,2013
1004,Kaulsdorf / Mahlsdorf,93.9,2013
1101,Hohenschönhausen Nord,87,2013
1102,Hohenschönhausen Süd,87.1,2013
1103,Lichtenberg Nord,85,2013
1104,Lichtenberg Mitte,90.5,2013
1105,Lichtenberg Süd,95.5,2013
1210,Reinickendorf-Ost,82.9,2013
1221,Tegel,85.3,2013
1222,Heiligensee-Konradshöhe,96.4,2013
1223,Frohnau-Hermsdorf,92.9,2013
1230,Waidmannslust,80,2013
0101,Zentrum,90.1,2016
0102,Moabit,82.5,2016
0103,Gesundbrunnen,78.8,2016
0104,Wedding,77.1,2016
0201,Kreuzberg Nord,86.6,2016
0202,Kreuzberg Süd,91.7,2016
0203,Kreuzberg Ost,91.1,2016
0204,Friedrichshain West,94.8,2016
0205,Friedrichshain Ost,93.5,2016
0301,Buch,86.3,2016
0302,Nördliches Pankow,96.9,2016
0303,Nördliches Weißensee,93.5,2016
0304,Südliches Pankow,95.6,2016
0305,Südliches Weißensee,93,2016
0306,Nördl. Prenzl. Berg,95.6,2016
0307,Südl. Prenzl. Berg,95.2,2016
0401,Charlottenburg-Nord,83,2016
0402,Westend,88.2,2016
0403,Charlottenburg,90.8,2016
0404,Schmargendorf,90.9,2016
0405,Wilmersdorf,84.8,2016
0406,Forst Grunewald,0,2016
0501,SPA 1,78.7,2016
0502,SPA 2,82.1,2016
0503,SPA 3,82.6,2016
0504,SPA 4,90.6,2016
0601,Region A,91.6,2016
0602,Region B,89.3,2016
0603,Region C,93.7,2016
0604,Region D,93.1,2016
0701,Schöneberg-Nord,86.5,2016
0702,Schöneberg-Süd,90.9,2016
0703,Friedenau,93,2016
0704,Tempelhof,85.3,2016
0705,Mariendorf,88.2,2016
0706,Marienfelde,82,2016
0707,Lichtenrade,89.4,2016
0801,Neukölln,85.5,2016
0802,Britz-Buckow,84.4,2016
0803,Gropiusstadt,88.2,2016
0804,Buckow Nord / Rudow,92.5,2016
0901,Treptow-Köpenick 1,94.4,2016
0902,Treptow-Köpenick 2,85.4,2016
0903,Treptow-Köpenick 3,91.7,2016
0904,Treptow-Köpenick 4,90,2016
0905,Treptow-Köpenick 5,96.5,2016
1001,Marzahn,86.7,2016
1002,Hellersdorf,87.3,2016
1003,Biesdorf,93.2,2016
1004,Kaulsdorf / Mahlsdorf,96.6,2016
1101,Hohenschönhausen Nord,87.5,2016
1102,Hohenschönhausen Süd,87.6,2016
1103,Lichtenberg Nord,81,2016
1104,Lichtenberg Mitte,89.6,2016
1105,Lichtenberg Süd,92.3,2016
1210,Reinickendorf-Ost,85.9,2016
1221,Tegel,79.7,2016
1222,Heiligensee-Konradshöhe,93.4,2016
1223,Frohnau-Hermsdorf,96.3,2016
1230,Waidmannslust,81,2016
0101,Zentrum,91.4027149321267,2010
0102,Moabit,82.29755178907722,2010
0103,Gesundbrunnen,70.9592641261498,2010
0104,Wedding,76.49301143583227,2010
0201,Kreuzberg Nord,83.09278350515464,2010
0202,Kreuzberg Süd,88.35616438356165,2010
0203,Kreuzberg Ost,88.51774530271399,2010
0204,Friedrichshain West,93.48659003831418,2010
0205,Friedrichshain Ost,91.57509157509158,2010
0301,Buch,92.54658385093168,2010
0302,Nördliches Pankow,94.78458049886622,2010
0303,Nördliches Weißensee,94.1358024691358,2010
0304,Südliches Pankow,94.87870619946092,2010
0305,Südliches Weißensee,95.23809523809524,2010
0306,Nördlicher Prenzl. Berg,94.82517482517483,2010
0307,Südlicher Prenzl. Berg,96.71052631578948,2010
0401,Charlottenburg-Nord,83.33333333333333,2010
0402,Westend,92.36947791164658,2010
0403,Charlottenburg,86.08695652173913,2010
0404,Schmargendorf,90.74733096085409,2010
0405,Wilmersdorf,87.93103448275862,2010
0406,Forst Grunewald,0,2010
0501,SPA 1,82.84106891701829,2010
0502,SPA 2,85.93272171253822,2010
0503,SPA 3,86.63594470046083,2010
0504,SPA 4,91.15646258503402,2010
0601,Region A,90.5123339658444,2010
0602,Region B,88.48920863309353,2010
0603,Region C,90.27113237639553,2010
0604,Region D,93.29173166926677,2010
0701,Schöneberg-Nord,88.33819241982508,2010
0702,Schöneberg-Süd,88.32807570977918,2010
0703,Friedenau,92.42424242424242,2010
0704,Tempelhof,88.76889848812095,2010
0705,Mariendorf,88.5558583106267,2010
0706,Marienfelde,85.28138528138528,2010
0707,Lichtenrade,85.7487922705314,2010
0801,Neukölln,75.28490028490029,2010
0802,Britz-Buckow,82.99776286353467,2010
0803,Gropiusstadt,83.59621451104101,2010
0804,Buckow Nord / Rudow,87.02290076335878,2010
0901,Treptow-Köpenick 1,91.74107142857143,2010
0902,Treptow-Köpenick 2,91.83168316831683,2010
0903,Treptow-Köpenick 3,95.9079283887468,2010
0904,Treptow-Köpenick 4,96.65071770334929,2010
0905,Treptow-Köpenick 5,95.6140350877193,2010
1001,Marzahn,87.61904761904762,2010
1002,Hellersdorf,86.3036303630363,2010
