,Prognoseraum,Bezeichnung,have_language_deficit_relative,year,attended_kita_more_than_2_years_relative,attended_u8_relative,have_own_tv_relative,have_prominent_visuo_motoric_disorder_relative
241,0102,Moabit,38.4,2010,82.29755178907722,78.4090909090909,15.458015267175572,16.612377850162865
242,0103,Gesundbrunnen,53.7,2010,70.9592641261498,81.25984251968504,27.635327635327634,30.49738219895288
243,0104,Wedding,59.5,2010,76.49301143583227,77.05426356589147,25.29960053262317,24.492385786802032
244,0201,Kreuzberg Nord,52.0,2010,83.09278350515464,76.24434389140272,19.574468085106385,23.59081419624217
245,0202,Kreuzberg Süd,22.3,2010,88.35616438356165,87.35632183908046,10.6951871657754,15.689655172413794
246,0203,Kreuzberg Ost,36.8,2010,88.51774530271399,84.38914027149322,11.790393013100436,17.40041928721174
247,0204,Friedrichshain West,6.1,2010,93.48659003831418,91.5966386554622,4.8,7.604562737642586
248,0205,Friedrichshain Ost,12.8,2010,91.57509157509158,85.53459119496856,5.482041587901701,10.110294117647058
249,0301,Buch,29.1,2010,92.54658385093168,86.39455782312925,17.8343949044586,25.30864197530864
250,0302,Nördliches Pankow,9.1,2010,94.78458049886622,89.09574468085107,9.433962264150944,19.772727272727277
251,0303,Nördliches Weißensee,14.1,2010,94.1358024691358,91.13475177304964,10.96345514950166,17.080745341614907
252,0304,Südliches Pankow,10.2,2010,94.87870619946092,88.30128205128206,5.957446808510638,16.146540027137043
253,0305,Südliches Weißensee,15.7,2010,95.23809523809524,86.2533692722372,9.090909090909092,18.09523809523809
254,0306,Nördlicher Prenzl. Berg,9.7,2010,94.82517482517484,89.73509933774834,5.646359583952452,12.988826815642458
255,0307,Südlicher Prenzl. Berg,9.6,2010,96.71052631578948,88.0,1.896551724137931,12.520593080724876
256,0401,Charlottenburg-Nord,17.9,2010,83.33333333333333,82.02247191011236,8.695652173913043,5.0
257,0402,Westend,8.5,2010,92.36947791164658,94.7867298578199,5.857740585774058,9.6
258,0403,Charlottenburg,17.7,2010,86.08695652173913,88.50889192886457,10.654685494223363,9.500609013398297
259,0404,Schmargendorf,13.0,2010,90.74733096085409,90.2439024390244,5.147058823529412,9.824561403508772
260,0405,Wilmersdorf,22.4,2010,87.93103448275862,89.0625,7.339449541284404,12.050739957716702
261,0406,Forst Grunewald,0.0,2010,0.0,0.0,0.0,0.0
262,0501,SPA 1,25.2,2010,82.84106891701829,84.25925925925925,15.83710407239819,13.202247191011235
263,0502,SPA 2,23.1,2010,85.93272171253822,85.2991452991453,18.464052287581698,12.63482280431433
264,0503,SPA 3,24.2,2010,86.63594470046083,86.4321608040201,16.666666666666668,11.52073732718894
265,0504,SPA 4,9.7,2010,91.15646258503402,97.03703703703704,5.2631578947368425,12.32876712328767
266,0601,Region A,10.5,2010,90.5123339658444,92.44897959183672,6.048387096774194,6.273062730627307
267,0602,Region B,7.6,2010,88.48920863309353,91.8762088974855,7.592592592592593,11.50442477876106
268,0603,Region C,8.3,2010,90.27113237639551,93.72759856630825,1.3311148086522462,6.730769230769231
269,0604,Region D,7.5,2010,93.29173166926677,93.03571428571428,1.4331210191082802,3.9184952978056415
270,0701,Schöneberg-Nord,28.4,2010,88.33819241982508,78.75,14.012738853503183,10.850439882697946
271,0702,Schöneberg-Süd,20.6,2010,88.32807570977918,88.73239436619718,8.724832214765101,5.7507987220447285
272,0703,Friedenau,12.7,2010,92.42424242424242,92.26666666666668,7.6923076923076925,6.0
273,0704,Tempelhof,18.5,2010,88.76889848812095,88.47117794486215,14.772727272727272,16.043956043956044
274,0705,Mariendorf,21.9,2010,88.5558583106267,90.0,15.68627450980392,13.387978142076502
275,0706,Marienfelde,18.7,2010,85.28138528138528,90.04739336492891,13.963963963963964,14.957264957264956
276,0707,Lichtenrade,10.4,2010,85.7487922705314,90.20618556701032,14.615384615384617,16.826923076923077
277,0801,Neukölln,44.8,2010,75.28490028490029,75.29118136439268,24.500768049155145,26.477024070021884
278,0802,Britz-Buckow,25.3,2010,82.99776286353467,81.93384223918575,18.89952153110048,17.410714285714285
279,0803,Gropiusstadt,41.0,2010,83.59621451104101,85.90604026845638,27.491408934707906,19.87381703470032
280,0804,Buckow Nord / Rudow,20.4,2010,87.02290076335878,86.35097493036211,14.516129032258064,17.258883248730964
281,0901,Treptow-Köpenick 1,3.6,2010,91.74107142857144,89.25233644859813,8.899297423887587,14.192139737991264
282,0902,Treptow-Köpenick 2,9.5,2010,91.83168316831684,82.06521739130434,13.164556962025316,12.224938875305623
283,0903,Treptow-Köpenick 3,5.5,2010,95.9079283887468,92.01101928374656,13.68421052631579,5.128205128205129
284,0904,Treptow-Köpenick 4,4.3,2010,96.65071770334929,85.57213930348259,7.84313725490196,4.245283018867925
285,0905,Treptow-Köpenick 5,1.8,2010,95.6140350877193,92.2360248447205,5.7057057057057055,4.913294797687861
286,1001,Marzahn,17.2,2010,87.61904761904762,85.03225806451613,27.112232030264817,17.529411764705884
287,1002,Hellersdorf,17.7,2010,86.3036303630363,86.74911660777386,27.160493827160494,29.159802306425043
288,1003,Biesdorf,3.8,2010,96.66666666666669,94.82758620689656,11.11111111111111,5.46448087431694
289,1004,Kaulsdorf / Mahlsdorf,4.0,2010,94.78527607361964,89.1025641025641,10.679611650485436,12.195121951219512
290,1101,Hohenschönhausen Nord,22.3,2010,90.9090909090909,87.1264367816092,26.046511627906977,21.581196581196583
291,1102,Hohenschönhausen Süd,17.2,2010,90.0,90.6810035842294,14.134275618374556,10.32258064516129
292,1103,Lichtenberg Nord,14.8,2010,92.4170616113744,85.75197889182058,17.69041769041769,10.955710955710956
293,1104,Lichtenberg Mitte,20.0,2010,86.45320197044335,86.92098092643052,19.597989949748744,11.163895486935868
294,1105,Lichtenberg Süd,3.8,2010,94.87179487179488,91.3793103448276,3.9130434782608696,9.465020576131687
295,1210,Reinickendorf-Ost,35.6,2010,88.50267379679144,85.54913294797687,22.86501377410468,19.312169312169317
296,1221,Tegel,27.8,2010,83.65650969529086,86.66666666666667,21.661721068249257,12.29050279329609
297,1222,Heiligensee-Konradshöhe,5.4,2010,93.20388349514565,92.3076923076923,2.5510204081632653,6.310679611650485
298,1223,Frohnau-Hermsdorf,7.5,2010,94.15807560137458,93.25842696629212,1.838235294117647,8.904109589041095
299,1230,Waidmannslust,34.5,2010,83.9943342776204,81.86195826645265,16.64167916041979,20.140845070422536
300,0101,Zentrum,20.7,2016,90.1,94.3,4.0,10.9
301,0102,Moabit,35.7,2016,82.5,94.9,8.5,23.0
302,0103,Gesundbrunnen,54.0,2016,78.8,83.1,14.5,37.7
303,0104,Wedding,43.7,2016,77.1,86.7,13.2,33.6
304,0201,Kreuzberg Nord,55.0,2016,86.6,87.5,8.1,28.4
305,0202,Kreuzberg Süd,17.8,2016,91.7,93.6,2.4,16.7
306,0203,Kreuzberg Ost,33.9,2016,91.1,91.1,2.6,19.6
307,0204,Friedrichshain West,22.1,2016,94.8,90.0,4.9,18.0
308,0205,Friedrichshain Ost,12.3,2016,93.5,94.5,2.1,12.4
309,0301,Buch,17.2,2016,86.3,92.6,11.8,26.0
310,0302,Nördliches Pankow,8.7,2016,96.9,94.5,3.4,20.7
311,0303,Nördliches Weißensee,9.8,2016,93.5,97.1,5.9,27.3
312,0304,Südliches Pankow,9.6,2016,95.6,95.4,3.7,17.8
313,0305,Südliches Weißensee,12.2,2016,93.0,95.2,5.1,24.4
314,0306,Nördl. Prenzl. Berg,9.5,2016,95.6,94.0,1.8,14.9
315,0307,Südl. Prenzl. Berg,9.9,2016,95.2,95.2,1.5,14.7
316,0401,Charlottenburg-Nord,44.6,2016,83.0,94.6,13.3,22.6
317,0402,Westend,20.9,2016,88.2,98.5,2.7,11.0
318,0403,Charlottenburg,27.6,2016,90.8,94.8,4.0,19.3
319,0404,Schmargendorf,20.4,2016,90.9,96.7,3.5,14.3
320,0405,Wilmersdorf,31.2,2016,84.8,94.5,4.0,21.7
321,0406,Forst Grunewald,0.0,2016,0.0,0.0,0.0,0.0
322,0501,SPA 1,40.3,2016,78.7,88.8,12.5,23.4
323,0502,SPA 2,34.7,2016,82.1,92.4,14.1,22.5
324,0503,SPA 3,26.2,2016,82.6,94.0,9.9,14.3
325,0504,SPA 4,13.5,2016,90.6,98.0,4.4,19.4
326,0601,Region A,19.6,2016,91.6,96.1,4.1,16.5
327,0602,Region B,27.4,2016,89.3,94.6,7.5,21.5
328,0603,Region C,16.0,2016,93.7,98.7,3.2,12.3
329,0604,Region D,13.6,2016,93.1,97.8,1.7,12.7
330,0701,Schöneberg-Nord,41.0,2016,86.5,94.1,6.2,15.1
331,0702,Schöneberg-Süd,17.9,2016,90.9,96.3,2.1,15.6
332,0703,Friedenau,18.6,2016,93.0,98.1,1.7,12.4
333,0704,Tempelhof,34.9,2016,85.3,97.0,7.4,24.3
334,0705,Mariendorf,25.8,2016,88.2,96.7,11.0,24.8
335,0706,Marienfelde,35.0,2016,82.0,96.4,11.7,29.5
336,0707,Lichtenrade,21.5,2016,89.4,96.2,8.0,21.1
337,0801,Neukölln,48.6,2016,85.5,86.8,11.1,25.5
338,0802,Britz-Buckow,35.0,2016,84.4,93.0,9.3,21.4
339,0803,Gropiusstadt,45.1,2016,88.2,91.3,16.3,25.8
340,0804,Buckow Nord / Rudow,23.5,2016,92.5,93.5,10.3,18.7
341,0901,Treptow-Köpenick 1,8.8,2016,94.4,94.3,8.2,13.5
